0.699431	0.699927	0.699691	0.70021	
0.699529	0.699938	0.69978	0.70021	
0.699786	0.699981	0.700034	0.700252	
0.699249	0.699888	0.699509	0.700167	
0.699758	0.699981	0.700017	0.700266	
0.699738	0.699961	0.700012	0.70026	
0.699223	0.699887	0.699472	0.700156	
0.699539	0.699938	0.699781	0.700202	
0.69965	0.699957	0.699916	0.700248	
0.699399	0.699913	0.699645	0.70018	
0.699531	0.699937	0.69978	0.700208	
0.699611	0.699952	0.699887	0.700253	
0.699404	0.699918	0.699663	0.700198	
0.699492	0.699934	0.699739	0.700202	
0.69957	0.699942	0.699836	0.700232	
0.699443	0.699925	0.699696	0.700201	
0.699641	0.699953	0.699886	0.700221	
0.699619	0.699956	0.699873	0.700234	
0.699458	0.699922	0.69975	0.70024	
0.699389	0.699915	0.699631	0.700177	
0.699811	0.699983	0.700075	0.700273	
0.699389	0.699917	0.699619	0.700165	
0.699467	0.699927	0.699746	0.70023	
0.699688	0.699964	0.699962	0.700264	
0.699437	0.69992	0.699663	0.700165	
0.699822	0.699981	0.700117	0.700305	
0.699235	0.699892	0.699467	0.700142	
0.699684	0.699962	0.699952	0.700256	
0.699518	0.699934	0.699761	0.700199	
0.699274	0.699902	0.699522	0.700171	
0.699625	0.699946	0.699897	0.700242	
0.699662	0.699956	0.699939	0.700259	
0.699441	0.699922	0.699658	0.700158	
0.699542	0.69994	0.699818	0.70024	
0.699276	0.699901	0.699508	0.700152	
0.699695	0.699959	0.699944	0.700231	
0.699612	0.699947	0.699905	0.700268	
0.699663	0.699954	0.699905	0.700218	
0.699506	0.699938	0.699755	0.700209	
0.699402	0.699914	0.699687	0.700224	
0.699643	0.699953	0.699901	0.700234	
0.699273	0.699899	0.699536	0.700183	
0.69987	0.699993	0.700108	0.700254	
0.699456	0.699927	0.699728	0.700223	
0.699496	0.699937	0.699732	0.700193	
0.699414	0.699927	0.699665	0.700199	
0.699528	0.699936	0.69979	0.700222	
0.699874	0.699995	0.700151	0.7003	
0.699453	0.699921	0.69971	0.700199	
0.699612	0.699949	0.699872	0.700233	
0.699189	0.699889	0.699426	0.700145	
0.699358	0.69991	0.699628	0.700203	
0.699798	0.69998	0.700023	0.700227	
0.6995	0.699932	0.699792	0.70025	
0.699733	0.699969	0.699962	0.70022	
0.699409	0.699916	0.699696	0.700228	
0.69936	0.699915	0.69962	0.700198	
0.699647	0.699955	0.699922	0.700255	
0.699538	0.699936	0.699765	0.700183	
0.699394	0.699916	0.699641	0.700184	
0.699723	0.699968	0.699964	0.700232	
0.699458	0.699923	0.69973	0.700218	
0.699714	0.699968	0.699985	0.700265	
0.699454	0.699928	0.69973	0.700229	
0.699445	0.699925	0.699655	0.700152	
0.699456	0.699926	0.699729	0.700223	
